[2023-04-16 00:03:12.510] WARN  [http-nio-8081-exec-5] [c.h.t.h.GlobalExceptionHandler] GlobalExceptionHandler.handleBadRequestException:72 - An invalid request was rejected: [Invalid Date!]
[2023-04-16 00:03:41.376] INFO  [SpringApplicationShutdownHook] [o.s.o.j.LocalContainerEntityManagerFactoryBean] LocalContainerEntityManagerFactoryBean.destroy:651 - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-04-16 00:03:41.385] INFO  [SpringApplicationShutdownHook] [c.z.h.HikariDataSource] HikariDataSource.close:350 - HikariPool-1 - Shutdown initiated...
[2023-04-16 00:03:41.396] INFO  [SpringApplicationShutdownHook] [c.z.h.HikariDataSource] HikariDataSource.close:352 - HikariPool-1 - Shutdown completed.
[2023-04-16 00:03:50.585] INFO  [main] [c.h.t.ToiletMapBackEndApplication] ToiletMapBackEndApplication.logStarting:55 - Starting ToiletMapBackEndApplication using Java 11.0.16.1 on TienHuynhTN with PID 9632 (F:\FPT\Semester-9-Summer-2023\Capstone-Project\Implementation\toilet-map-back-end\target\classes started by tienhltse151104 in F:\FPT\Semester-9-Summer-2023\Capstone-Project\Implementation\toilet-map-back-end)
[2023-04-16 00:03:50.596] INFO  [main] [c.h.t.ToiletMapBackEndApplication] ToiletMapBackEndApplication.logStartupProfileInfo:637 - The following 2 profiles are active: "default", "prod"
[2023-04-16 00:03:52.147] INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.registerRepositoriesIn:132 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-04-16 00:03:52.290] INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.registerRepositoriesIn:201 - Finished Spring Data repository scanning in 131 ms. Found 15 JPA repository interfaces.
[2023-04-16 00:03:52.949] INFO  [main] [o.s.b.w.e.t.TomcatWebServer] TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 8081 (http)
[2023-04-16 00:03:52.949] INFO  [main] [o.a.c.c.AprLifecycleListener] AprLifecycleListener.log:173 - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
[2023-04-16 00:03:52.949] INFO  [main] [o.a.c.c.AprLifecycleListener] AprLifecycleListener.log:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[2023-04-16 00:03:52.949] INFO  [main] [o.a.c.c.AprLifecycleListener] AprLifecycleListener.log:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[2023-04-16 00:03:52.955] INFO  [main] [o.a.c.c.AprLifecycleListener] AprLifecycleListener.log:173 - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
[2023-04-16 00:03:52.955] INFO  [main] [o.a.c.c.StandardService] StandardService.log:173 - Starting service [Tomcat]
[2023-04-16 00:03:52.955] INFO  [main] [o.a.c.c.StandardEngine] StandardEngine.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.71]
[2023-04-16 00:03:53.093] INFO  [main] [o.a.c.c.C.[.[.[/]] [/].log:173 - Initializing Spring embedded WebApplicationContext
[2023-04-16 00:03:53.093] INFO  [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.prepareWebApplicationContext:292 - Root WebApplicationContext: initialization completed in 2422 ms
[2023-04-16 00:03:53.539] INFO  [main] [o.h.j.i.u.LogHelper] LogHelper.logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-04-16 00:03:53.586] INFO  [main] [o.h.Version] Version.logVersion:44 - HHH000412: Hibernate ORM core version 5.6.14.Final
[2023-04-16 00:03:53.776] INFO  [main] [o.h.a.c.Version] Version.<clinit>:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-04-16 00:03:53.906] INFO  [main] [c.z.h.HikariDataSource] HikariDataSource.getConnection:110 - HikariPool-1 - Starting...
[2023-04-16 00:03:54.740] INFO  [main] [c.z.h.HikariDataSource] HikariDataSource.getConnection:123 - HikariPool-1 - Start completed.
[2023-04-16 00:03:54.763] INFO  [main] [o.h.d.Dialect] Dialect.<init>:175 - HHH000400: Using dialect: org.hibernate.dialect.SQLServer2012Dialect
[2023-04-16 00:03:55.986] INFO  [main] [o.h.e.t.j.p.i.JtaPlatformInitiator] JtaPlatformInitiator.initiateService:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-04-16 00:03:56.005] INFO  [main] [o.s.o.j.LocalContainerEntityManagerFactoryBean] LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
